epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.1174,0.80634,2.86261,1.32228,0.00666,0.96561,0.3726,0.27969,0.5497,3.35954,1.20414,0.0001429,0.0001429,0.0001429
2,174.036,0.75018,1.92973,1.24651,0.86803,0.10185,0.51628,0.37912,0.78474,2.96041,1.4601,0.000294148,0.000294148,0.000294148
3,256.644,0.72195,1.55196,1.2332,0.90351,0.47354,0.71005,0.50312,0.8653,2.75966,1.53207,0.000439172,0.000439172,0.000439172
4,340.819,0.70781,1.2549,1.19614,0.64773,0.4709,0.63744,0.46502,0.93499,2.47615,1.61011,0.00057797,0.00057797,0.00057797
5,423.964,0.72227,1.18184,1.21918,0.54051,0.55658,0.58148,0.345,1.20759,2.48741,1.93587,0.000710545,0.000710545,0.000710545
6,507.692,0.78781,1.21304,1.26673,0.80675,0.69048,0.74812,0.44283,1.26351,2.07422,2.15481,0.000836894,0.000836894,0.000836894
7,590.347,0.74515,1.19542,1.22629,0.5769,0.58442,0.59557,0.37212,1.45725,2.44889,2.38741,0.000957018,0.000957018,0.000957018
8,671.502,0.76755,1.11983,1.19892,0.62268,0.66824,0.6651,0.40618,1.43456,2.373,2.23668,0.00107092,0.00107092,0.00107092
9,754.354,0.73338,1.07328,1.19028,0.69583,0.65666,0.71753,0.46887,1.18343,2.30979,2.10992,0.00117859,0.00117859,0.00117859
10,827.14,0.72014,1.07084,1.20072,0.80405,0.73583,0.80481,0.51779,1.00564,2.00804,1.80104,0.00117435,0.00117435,0.00117435
11,901.694,0.7293,0.99349,1.20491,0.78168,0.65828,0.76524,0.47089,1.18439,1.95489,1.98593,0.00114606,0.00114606,0.00114606
12,974.742,0.72632,0.95883,1.1706,0.82682,0.68137,0.80135,0.54537,1.08583,1.77808,1.88992,0.00111776,0.00111776,0.00111776
13,1047.77,0.6819,0.98534,1.17319,0.7265,0.69769,0.77412,0.5162,1.07541,1.80832,1.83303,0.00108947,0.00108947,0.00108947
14,1120.42,0.69997,0.89457,1.18005,0.53388,0.60331,0.56728,0.38078,1.14913,2.52433,1.87746,0.00106118,0.00106118,0.00106118
15,1196.41,0.64468,0.88013,1.14175,0.75262,0.71778,0.74484,0.51688,1.06863,1.88585,1.91908,0.00103288,0.00103288,0.00103288
16,1269.05,0.70649,0.87401,1.18132,0.88786,0.63624,0.75196,0.48683,1.23001,1.70599,1.9801,0.00100459,0.00100459,0.00100459
17,1342.19,0.61501,0.80161,1.09459,0.82312,0.6247,0.73138,0.47254,1.20707,1.67935,1.94927,0.000976293,0.000976293,0.000976293
18,1414.39,0.64937,0.78316,1.13696,0.51904,0.58119,0.58527,0.39658,1.215,2.20171,1.81129,0.000947999,0.000947999,0.000947999
19,1489.73,0.65397,0.83514,1.14655,0.72576,0.69996,0.76442,0.50589,1.07751,1.55872,1.71913,0.000919704,0.000919704,0.000919704
20,1562.18,0.63674,0.80788,1.11233,0.80513,0.81746,0.81761,0.58785,1.03022,1.41352,1.59809,0.00089141,0.00089141,0.00089141
21,1635.73,0.61049,0.71214,1.10789,0.87642,0.75994,0.82532,0.6057,1.01975,1.3427,1.62529,0.000863116,0.000863116,0.000863116
22,1708.73,0.57204,0.69467,1.06894,0.83953,0.80743,0.83795,0.63556,0.85081,1.18747,1.52354,0.000834822,0.000834822,0.000834822
23,1781.01,0.58372,0.71767,1.08293,0.87871,0.69296,0.76747,0.57893,0.94603,1.34288,1.67767,0.000806528,0.000806528,0.000806528
24,1856.76,0.58583,0.68988,1.08365,0.90478,0.62295,0.79079,0.56462,0.97474,1.39761,1.67896,0.000778233,0.000778233,0.000778233
25,1929.16,0.60275,0.74785,1.09909,0.82025,0.66021,0.81129,0.53871,1.00973,1.41656,1.73992,0.000749939,0.000749939,0.000749939
26,2001.31,0.60371,0.73561,1.10007,0.91514,0.73783,0.83704,0.62755,0.90132,1.21202,1.55248,0.000721645,0.000721645,0.000721645
27,2077.64,0.58555,0.69212,1.09919,0.85166,0.81418,0.85771,0.65118,0.88753,1.27538,1.52962,0.000693351,0.000693351,0.000693351
28,2149.85,0.54945,0.67024,1.08311,0.90058,0.7619,0.84903,0.65065,0.9151,1.11073,1.5457,0.000665057,0.000665057,0.000665057
29,2221.99,0.55753,0.64358,1.08609,0.87513,0.76984,0.86579,0.64757,0.8814,1.0981,1.53226,0.000636762,0.000636762,0.000636762
30,2296.11,0.58028,0.62469,1.07755,0.86954,0.78035,0.87204,0.63132,0.9527,1.11275,1.59384,0.000608468,0.000608468,0.000608468
31,2368.64,0.56972,0.62926,1.07318,0.916,0.84669,0.89516,0.66915,0.8525,0.97936,1.51276,0.000580174,0.000580174,0.000580174
32,2441.06,0.54171,0.61665,1.10899,0.94088,0.84208,0.89515,0.67351,0.84269,1.01469,1.51465,0.00055188,0.00055188,0.00055188
33,2517.88,0.5794,0.64839,1.10797,0.94189,0.82327,0.87318,0.65497,0.90428,1.0487,1.62642,0.000523586,0.000523586,0.000523586
34,2590.16,0.54304,0.60118,1.08077,0.93749,0.84678,0.87993,0.6452,0.87491,0.99776,1.56055,0.000495291,0.000495291,0.000495291
35,2662.23,0.53762,0.6051,1.08086,0.93067,0.85416,0.88033,0.65483,0.84434,1.00204,1.49153,0.000466997,0.000466997,0.000466997
36,2734.98,0.57033,0.63543,1.09189,0.92707,0.83668,0.88277,0.68186,0.83131,0.97923,1.45082,0.000438703,0.000438703,0.000438703
37,2808.65,0.51833,0.56807,1.05553,0.9037,0.86736,0.89219,0.6629,0.87065,0.94742,1.46682,0.000410409,0.000410409,0.000410409
38,2880.9,0.53832,0.58584,1.06202,0.9206,0.86231,0.89279,0.67297,0.86776,0.94985,1.46345,0.000382115,0.000382115,0.000382115
39,2953.44,0.50466,0.55852,1.05711,0.92474,0.87137,0.90423,0.69494,0.82384,0.90842,1.44527,0.00035382,0.00035382,0.00035382
40,3025.82,0.50795,0.56182,1.05169,0.96013,0.83141,0.90386,0.69446,0.81663,0.88208,1.45113,0.000325526,0.000325526,0.000325526
41,3102.32,0.41559,0.69872,1.01442,0.95611,0.80121,0.89485,0.68842,0.84363,0.9216,1.48492,0.000297232,0.000297232,0.000297232
42,3175.73,0.37776,0.60212,0.98113,0.90203,0.78087,0.83847,0.64738,0.85053,1.01987,1.52464,0.000268938,0.000268938,0.000268938
43,3247.93,0.40515,0.60505,1.0165,0.9328,0.76112,0.84536,0.65973,0.79736,1.06785,1.4659,0.000240644,0.000240644,0.000240644
44,3319.54,0.38623,0.57351,0.98661,0.95614,0.78994,0.87685,0.69059,0.74997,1.02622,1.40238,0.000212349,0.000212349,0.000212349
45,3390.98,0.35918,0.53899,0.97079,0.91318,0.81836,0.88164,0.69975,0.74612,0.97007,1.39489,0.000184055,0.000184055,0.000184055
46,3465.28,0.35932,0.50446,0.96244,0.86625,0.85145,0.88029,0.6947,0.72953,0.92125,1.37278,0.000155761,0.000155761,0.000155761
47,3537.13,0.3604,0.51503,0.9557,0.88328,0.85326,0.87828,0.70477,0.73747,0.88293,1.38526,0.000127467,0.000127467,0.000127467
48,3608.59,0.33863,0.50588,0.95182,0.90855,0.86399,0.8821,0.70255,0.74959,0.8928,1.40162,9.91726e-05,9.91726e-05,9.91726e-05
49,3680.9,0.33683,0.48581,0.94761,0.92054,0.86429,0.88612,0.70697,0.74693,0.88785,1.40272,7.08784e-05,7.08784e-05,7.08784e-05
50,3752.4,0.34461,0.4965,0.93747,0.93475,0.86327,0.88951,0.7058,0.73972,0.86929,1.39376,4.25842e-05,4.25842e-05,4.25842e-05
